Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6199999999999999	0.595	0.64	0.625	0.625	0.625	0.64	0.6250000000000001	0.625	0.64	0.64	0.605	0.63	0.6199999999999999	0.62	0.635	0.625	0.635	0.61	0.595	0.64	
0.15000000000000002	0.62	0.595	0.6599999999999999	0.64	0.62	0.655	0.65	0.655	0.5800000000000001	0.6399999999999999	0.66	0.62	0.615	0.58	0.6699999999999999	0.6950000000000001	0.64	0.655	0.655	0.62	0.6399999999999999	
0.10000000000000002	0.525	0.61	0.655	0.65	0.6399999999999999	0.7049999999999998	0.5199999999999999	0.635	0.655	0.6799999999999999	0.65	0.61	0.665	0.68	0.665	0.6399999999999999	0.62	0.645	0.5900000000000001	0.65	0.6900000000000001	
0.05000000000000002	0.61	0.655	0.64	0.5700000000000001	0.605	0.56	0.6399999999999999	0.6300000000000001	0.675	0.635	0.62	0.6100000000000001	0.6050000000000001	0.6849999999999999	0.645	0.5800000000000001	0.635	0.6599999999999999	0.655	0.6599999999999999	0.6199999999999999	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	57.5%
1	10	0.2	70%
2	10	0.2	65%
3	10	0.2	60%
4	10	0.2	57.5%
0	11	0.2	57.5%
1	11	0.2	67.5%
2	11	0.2	70%
3	11	0.2	47.5%
4	11	0.2	55%
0	12	0.2	60%
1	12	0.2	72.5%
2	12	0.2	70%
3	12	0.2	60%
4	12	0.2	57.5%
0	13	0.2	57.5%
1	13	0.2	70%
2	13	0.2	62.5%
3	13	0.2	62.5%
4	13	0.2	60%
0	14	0.2	62.5%
1	14	0.2	65%
2	14	0.2	67.5%
3	14	0.2	55%
4	14	0.2	62.5%
0	15	0.2	60%
1	15	0.2	67.5%
2	15	0.2	65%
3	15	0.2	57.5%
4	15	0.2	62.5%
0	16	0.2	65%
1	16	0.2	75%
2	16	0.2	65%
3	16	0.2	60%
4	16	0.2	55%
0	17	0.2	62.5%
1	17	0.2	67.5%
2	17	0.2	65%
3	17	0.2	57.5%
4	17	0.2	60%
0	18	0.2	60%
1	18	0.2	67.5%
2	18	0.2	62.5%
3	18	0.2	60%
4	18	0.2	62.5%
0	19	0.2	62.5%
1	19	0.2	67.5%
2	19	0.2	62.5%
3	19	0.2	65%
4	19	0.2	62.5%
0	20	0.2	62.5%
1	20	0.2	70%
2	20	0.2	67.5%
3	20	0.2	62.5%
4	20	0.2	57.5%
0	21	0.2	57.5%
1	21	0.2	70%
2	21	0.2	55%
3	21	0.2	57.5%
4	21	0.2	62.5%
0	22	0.2	57.5%
1	22	0.2	67.5%
2	22	0.2	67.5%
3	22	0.2	62.5%
4	22	0.2	60%
0	23	0.2	60%
1	23	0.2	70%
2	23	0.2	60%
3	23	0.2	57.5%
4	23	0.2	62.5%
0	24	0.2	62.5%
1	24	0.2	65%
2	24	0.2	65%
3	24	0.2	57.5%
