Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.7313511611541167	0.6928219563687544	0.6789232934553132	0.7658339197748064	0.7331104855735397	0.8298733286418015	
0.15000000000000002	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8249472202674173	0.8101688951442645	0.6347642505277973	0.7331104855735397	0.7412033779028853	0.6565798733286418	0.7688247712878253	0.7461294862772695	
0.10000000000000002	0.7895847994370161	0.8048909218859956	0.7850105559465167	0.7848346235045741	0.7950387051372273	0.7999648135116114	0.7948627726952849	0.7848346235045742	0.8050668543279381	0.759500351864884	0.784658691062632	0.7800844475721324	0.7994370161857846	0.8048909218859956	0.7948627726952849	0.7598522167487685	0.77990851513019	0.7698803659394792	0.7894088669950738	0.8001407459535538	0.8098170302603799	
0.05000000000000002	0.7445460942997888	0.8296973961998592	0.7746305418719212	0.784658691062632	0.7899366643209007	0.8145672061928221	0.7447220267417312	0.7797325826882477	0.784130893736805	0.7800844475721324	0.770408163265306	0.7540464461646728	0.769704433497537	0.7345179451090781	0.7844827586206896	0.7450738916256158	0.7443701618578465	0.7848346235045742	0.7399718508092893	0.7243138634764251	0.7695285010555947	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	79.31%
1	10	0.2	82.76%
2	10	0.2	89.66%
3	10	0.2	79.31%
4	10	0.2	78.57%
5	10	0.2	82.14%
6	10	0.2	85.71%
0	11	0.2	79.31%
1	11	0.2	82.76%
2	11	0.2	89.66%
3	11	0.2	79.31%
4	11	0.2	78.57%
5	11	0.2	82.14%
6	11	0.2	85.71%
0	12	0.2	79.31%
1	12	0.2	82.76%
2	12	0.2	89.66%
3	12	0.2	79.31%
4	12	0.2	78.57%
5	12	0.2	82.14%
6	12	0.2	85.71%
0	13	0.2	79.31%
1	13	0.2	82.76%
2	13	0.2	89.66%
3	13	0.2	79.31%
4	13	0.2	78.57%
5	13	0.2	82.14%
6	13	0.2	85.71%
0	14	0.2	79.31%
1	14	0.2	82.76%
2	14	0.2	89.66%
3	14	0.2	79.31%
4	14	0.2	78.57%
5	14	0.2	82.14%
6	14	0.2	85.71%
0	15	0.2	79.31%
1	15	0.2	82.76%
2	15	0.2	89.66%
3	15	0.2	79.31%
4	15	0.2	78.57%
5	15	0.2	82.14%
6	15	0.2	85.71%
0	16	0.2	79.31%
1	16	0.2	82.76%
2	16	0.2	89.66%
3	16	0.2	79.31%
4	16	0.2	78.57%
5	16	0.2	82.14%
6	16	0.2	85.71%
0	17	0.2	79.31%
1	17	0.2	82.76%
2	17	0.2	89.66%
3	17	0.2	79.31%
4	17	0.2	78.57%
5	17	0.2	82.14%
6	17	0.2	85.71%
0	18	0.2	79.31%
1	18	0.2	82.76%
2	18	0.2	89.66%
3	18	0.2	79.31%
4	18	0.2	78.57%
5	18	0.2	82.14%
6	18	0.2	85.71%
0	19	0.2	79.31%
1	19	0.2	82.76%
2	19	0.2	89.66%
3	19	0.2	79.31%
4	19	0.2	78.57%
5	19	0.2	82.14%
6	19	0.2	85.71%
0	20	0.2	79.31%
1	20	0.2	82.76%
2	20	0.2	89.66%
3	20	0.2	79.31%
4	20	0.2	78.57%
5	20	0.2	82.14%
6	20	0.2	85.71%
0	21	0.2	79.31%
1	21	0.2	82.76%
