Error Threshold	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24	Hidden Size = 25	Hidden Size = 26	Hidden Size = 27	Hidden Size = 28	Hidden Size = 29	Hidden Size = 30
0.2	0.6044266191325015	0.6139334521687463	0.6292335115864527	0.5846702317290552	0.5799168152109329	0.6292335115864528	0.6048722519310754	0.6091800356506238	0.6142305407011289	0.5744206773618538	0.5898692810457516	0.595068330362448	0.6192810457516339	0.5895721925133689	0.5894236482471776	0.6143790849673203	0.5995246583481878	0.5849673202614379	0.6198752228163992	0.6292335115864528	0.6099227569815805	
0.15000000000000002	0.6044266191325015	0.5943256090314913	0.5745692216280451	0.6393345216874627	0.5243612596553774	0.6293820558526441	0.5892751039809864	0.6442364824717766	0.6237373737373737	0.6139334521687463	0.6240344622697563	0.594622697563874	0.5083184789067142	0.6041295306001188	0.5941770647653001	0.6044266191325015	0.55941770647653	0.6238859180035651	0.5993761140819964	0.6396316102198455	0.6589423648247177	
0.10000000000000002	0.5698158051099228	0.679144385026738	0.5842245989304813	0.6044266191325015	0.6094771241830065	0.6090314913844325	0.6296791443850267	0.6299762329174093	0.6338383838383839	0.6394830659536542	0.6246286393345216	0.6090314913844326	0.6590909090909091	0.5897207367795603	0.6186868686868686	0.6347296494355318	0.6491384432560903	0.6235888294711823	0.6244800950683304	0.6347296494355318	0.6287878787878788	
0.05000000000000002	0.6292335115864528	0.6595365418894831	0.6541889483065954	0.6598336304218657	0.594622697563874	0.6492869875222816	0.5849673202614379	0.5543672014260249	0.6644385026737968	0.6350267379679143	0.6039809863339275	0.6146761734997029	0.5445632798573975	0.6639928698752228	0.6638443256090314	0.5895721925133689	0.5995246583481877	0.5797682709447416	0.6244800950683304	0.5892751039809863	0.6298276886512181	



Data Set	Hidden Size	Error Threshold	Accuracy0
0	10	0.2	73.53%
1	10	0.2	58.82%
2	10	0.2	72.73%
3	10	0.2	39.39%
4	10	0.2	57.58%
5	10	0.2	60.61%
0	11	0.2	76.47%
1	11	0.2	67.65%
2	11	0.2	66.67%
3	11	0.2	39.39%
4	11	0.2	54.55%
5	11	0.2	63.64%
0	12	0.2	79.41%
1	12	0.2	61.76%
2	12	0.2	75.76%
3	12	0.2	39.39%
4	12	0.2	57.58%
5	12	0.2	63.64%
0	13	0.2	58.82%
1	13	0.2	64.71%
2	13	0.2	69.7%
3	13	0.2	39.39%
4	13	0.2	54.55%
5	13	0.2	63.64%
0	14	0.2	58.82%
1	14	0.2	58.82%
2	14	0.2	69.7%
3	14	0.2	42.42%
4	14	0.2	54.55%
5	14	0.2	63.64%
0	15	0.2	73.53%
1	15	0.2	67.65%
2	15	0.2	69.7%
3	15	0.2	42.42%
4	15	0.2	57.58%
5	15	0.2	66.67%
0	16	0.2	61.76%
1	16	0.2	61.76%
2	16	0.2	69.7%
3	16	0.2	42.42%
4	16	0.2	60.61%
5	16	0.2	66.67%
0	17	0.2	73.53%
1	17	0.2	64.71%
2	17	0.2	66.67%
3	17	0.2	39.39%
4	17	0.2	54.55%
5	17	0.2	66.67%
0	18	0.2	70.59%
1	18	0.2	67.65%
2	18	0.2	69.7%
3	18	0.2	42.42%
4	18	0.2	57.58%
5	18	0.2	60.61%
0	19	0.2	70.59%
1	19	0.2	55.88%
2	19	0.2	66.67%
3	19	0.2	36.36%
4	19	0.2	54.55%
5	19	0.2	60.61%
0	20	0.2	58.82%
1	20	0.2	61.76%
2	20	0.2	72.73%
3	20	0.2	42.42%
4	20	0.2	48.48%
5	20	0.2	69.7%
0	21	0.2	58.82%
1	21	0.2	58.82%
2	21	0.2	66.67%
3	21	0.2	42.42%
4	21	0.2	63.64%
5	21	0.2	66.67%
0	22	0.2	70.59%
1	22	0.2	67.65%
2	22	0.2	66.67%
3	22	0.2	42.42%
4	22	0.2	57.58%
5	22	0.2	66.67%
0	23	0.2	67.65%
